person_id,name
1331573,Michele Lonsdale-Smith
1331573,Michelle Lonsdale-Smith
1331573,Michele Lonsdale Smith
5588,Алисия Сильверстоун
58150,Stacey L. Dash
58150,Stacy Dash
328,Brittany Anne Bertolotti
66160,Twinkie Caplan
66160,Theodora Louise
15152,James Earl Boggins Jones
15152,Todd Jones
17764,Charles Dutton
194,Richard Kharris
1327,Иэн МакКеллен
1327,Sir Ian McKellen
1327,Sir Ian McKellan
1327,伊恩·麦克莱恩
388,James Broadbent
3223,Bob Downey
3223,小勞勃·道尼
3223,روبرت داوني جونير
3223,로버트 다우니 주니어
3223,ロバート・ダウニー・Jr
3223,Роберт Дауни-младший
3223,Роберт Дауни мл.
3223,Роберт Дауни младший
3223,รอเบิร์ต ดาวนีย์ จูเนียร์
3545,Эдвард Хардвик
8937,John Woods
8937,Tom Wood
66,크리스 터커
6862,Freddy Capra
69447,Rose Jackson Moye
69447,Rosemarie Jackson
5365,Clifton Craig Gonzalez Collins Jr.
5365,William Battersby
5365,Clifton Craig Collins Jr.
5365,Clifton Gonzalez Collins
5365,Clifton Gonzales Gonzales
5365,Clifton Gonzalez
5365,Clifton Gonzalez-Gonzalez
5365,Clifton González González
11486,James Michael Imperioli
11486,Michael Imperiola
5344,Margaret Mary Emily Anne Hyra
97170,Mary McLeod
20243,Roger Ashton Griffiths
20243,J.G.R. Ashton-Griffiths
38559,Christophe Lambert
38559,Chris Lambert
57250,Robin Shou Wan-Bo
57250,仇雲波
57255,Keith Hirabayashi
18082,Tim Olyphant
21045,Margaret Denise Quigley
21045,李美琪
21045,Lee Mei Kei
21045,Li Mei-Qi
21946,Cyril Quenel
21946,Cyril Quenel-Raffaelli
21946,Cyrille Raffael
21946,Cyril Quenel Raffaeli
21946,Cyril Cuenel Raffaelli
35546,Christopher Palermo
35546,Chris Anthony Palermo
35546,Christopher A. Palermo
35546,Chris Polermo
6752,Zeljko Silver Ivanek
6752,Željko Ivanek
94791,John Allen McDorman IV
94791,John McDorman
141432,Allan Maldanado
55538,Timothy Russ
1920,Wynona Ryder
689,Kathleen Sue Nail
7499,Джаред Лето
7499,จาเรด เลโท
7499,杰瑞德·莱托
7499,ジャレッド・レト
7499,재러드 레토
7499,جاريد ليتو
6194,Claire Catherine Danes
40275,Timothy Guinee
10480,Dennis Arndt
18346,Rae'ven A'lyia Kelly
18346,Rae'ven Alyia Kelly
18346,Rae'ven Larrymore Kelly
18346,Raeven Larrymore Kelly
18346,Raeven Kelly
18346,RaéVen Larrymore Kelly
18346,Rae'ven Larrymore-Kelly
18346,Raeven Larrymore-Kelly
18346,Rae'Ven Kelly
32363,Will Nipper
32363,William Estes Nipper
7450,三船 敏郎
7450,Toshirô Mifune
7450,Toshiroh Mifune
7450,三船敏郎
7453,志村喬
20830,木村功
20831,Tsushima Keiko
20831,Shizuko Kojima
20831,津島 恵子
20831,Mori Naoko
20831,森 直子
20831,Naoko Mori
96552,藤原 釜足
108028,Kokuten Kodo
108028,Kuninori Kôdô
108028,Kuninori Todo
106165,東野英治郎
106165,Eijirō Tōno
106165,Tōno Eijirō
7455,Kichijirou Ueda
7455,Kichijiroh Ueda
7455,上田 吉二郎
7455,Sadao Ueda
