movie_id,genre_id
11446,18
51980,18
51980,10749
13855,80
13855,18
13855,53
11655,18
11655,27
11655,53
11800,35
11800,10749
8223,35
8223,18
14587,35
14587,18
31504,35
31504,10751
41653,18
53185,10770
53185,18
53185,10749
53185,35
95743,18
95743,10749
23637,35
17600,35
17600,18
10897,10749
10897,35
10897,10751
21352,18
21352,10751
21352,12
68806,53
68806,80
68806,18
37345,35
37345,18
37345,36
37345,9648
32562,36
32562,99
47507,35
47507,10749
25403,35
25403,18
9066,35
771,35
771,10751
251,14
251,18
251,53
251,9648
251,10749
812,16
812,10751
812,35
812,12
812,14
812,10749
280,28
280,53
280,878
80350,53
80350,28
80350,18
274,80
274,18
274,53
408,14
408,16
408,10751
10020,10749
10020,10751
10020,16
10020,14
10020,10402
114,10749
114,35
41043,35
41043,18
41043,14
576,12
576,37
15477,80
15477,53
30528,35
30528,10749
7300,35
7300,10749
10824,27
275,80
275,18
275,53
25059,12
25059,35
25059,18
25059,10751
11827,16
11827,878
8766,27
8766,53
8766,878
23570,35
23570,10749
14607,28
14607,80
14607,18
14607,53
51242,35
51242,10769
10112,16
10112,35
10112,10751
10112,12
4307,18
4307,10749
46029,35
46029,10749
88893,12
88893,18
88893,99
52873,18
340210,53
340210,28
340210,18
44281,35
44281,18
28121,35
28121,53
28121,80
28121,10749
12520,35
12520,53
12520,80
12520,18
1592,80
1592,18
1592,9648
1592,53
36447,18
36447,10749
19042,10749
19042,16
19042,10751
19042,12
19042,14
38884,18
38884,36
38884,10752
38884,10749
47449,35
36259,14
36259,878
36259,10751
41852,35
41852,18
27550,35
9099,35
9099,10751
2021,35
2021,18
2021,10749
61752,35
10988,18
10988,27
10988,9648
10988,53
11479,12
11479,18
11479,10751
11479,35
287305,35
12652,18
12652,10749
68445,18
68445,35
18989,18
18989,10749
10801,35
54285,27
54285,9648
54285,53
8840,14
124625,18
10363,80
10363,18
10363,53
10539,10402
10539,12
10539,16
10539,10751
10543,18
10543,53
10543,10749
18414,35
47502,35
47502,80
47502,18
11902,35
11902,18
11902,10752
27098,10752
27098,18
27098,10749
25087,28
25087,53
5801,18
896,18
3065,35
3065,878
2300,16
2300,35
2300,18
2300,10751
2300,14
8069,878
27768,18
27768,53
221917,18
221917,10749
8072,18
8072,878
8072,9648
35797,18
88030,99
88030,10769
33245,18
124460,18
124460,10749
27281,28
27281,12
27281,35
27281,10751
105045,18
105045,10749
40001,35
40001,10749
40001,18
29621,28
29621,12
29621,878
29621,53
117730,18
117730,10769
20762,28
20762,53
48260,80
48260,18
48260,10749
48260,53
12656,28
12656,35
12656,18
12656,53
38867,18
38867,10749
44103,18
44103,36
37265,35
37265,18
29649,18
10990,18
10990,9648
10990,53
12233,16
12233,35
12233,10751
23449,35
47244,10402
47244,18
47244,10749
90148,18
922,18
922,14
922,37
11876,10752
11876,12
11876,18
11876,10749
52633,28
52633,80
52633,18
62364,35
62364,10769
11687,14
11687,35
11687,878
9304,35
9304,14
9304,878
503475,10751
503475,16
503475,35
73183,99
9100,18
9100,14
9100,27
9100,53
20759,35
20759,18
47281,18
47281,10752
32513,35
32513,18
32513,10749
40651,16
40651,18
36915,18
36915,9648
36915,53
9802,28
9802,12
9802,53
25697,35
21588,14
21588,18
21588,27
21588,35
11867,878
47119,18
9323,28
9323,16
9323,878
10280,27
10280,53
10535,28
10535,35
124613,35
124613,18
532,10751
532,16
532,35
26744,18
26744,28
26744,80
16299,35
16299,10751
10547,28
10547,9648
10547,878
10547,53
935,18
935,35
935,10752
55613,27
55613,35
55613,18
55613,14
41007,35
41007,18
41007,10749
35645,18
110465,10751
110465,12
255546,99
85778,99
11101,18
11101,36
11101,10752
9879,18
9879,53
9879,80
63564,18
63564,35
7095,35
7095,18
7095,878
26890,18
46732,35
46732,18
46732,10751
181083,18
41225,18
41225,9648
41225,27
627,18
627,80
32872,35
32872,10749
602,28
602,12
602,878
14553,18
14553,10749
9894,35
9894,18
9894,53
11543,35
9268,28
9268,18
9268,9648
9268,53
52059,99
123763,18
123763,10769
44535,35
44535,18
44495,18
11228,28
11228,12
11228,53
10779,27
10779,35
35225,35
35225,80
38223,35
38223,18
38223,10751
49963,35
49963,18
49963,10749
11363,35
11363,10749
1645,80
1645,18
1645,53
31546,18
77056,10749
77056,35
18550,28
18550,35
18550,53
11511,14
11511,35
11511,878
11511,10751
34170,10751
34170,35
109478,28
109478,9648
109478,53
12606,35
35206,12
35206,18
4837,18
4837,35
4837,10749
124614,53
18975,16
18975,10751
18975,14
11962,14
11962,35
11962,10402
2925,35
28628,10749
28628,18
28628,35
92381,35
18555,28
18555,18
18555,53
12123,28
12123,18
12123,878
12123,53
10830,35
10830,10751
10830,14
3573,35
3573,18
3573,10749
10546,28
10546,14
10546,53
18862,35
18862,10751
31417,18
31417,27
31417,53
9431,27
9431,35
48144,9648
48144,80
48144,18
46986,18
46986,10749
144982,18
47907,35
47907,18
10061,28
10061,12
10061,878
10061,53
36266,80
36266,18
549,18
549,36
10478,35
10478,18
10478,10749
159,35
159,18
11134,28
11134,80
11134,53
88224,18
88224,35
9303,80
9303,18
9303,10749
9303,53
23945,35
23945,10751
37820,18
9054,35
9054,10751
11985,18
38955,28
38955,12
38955,80
110513,35
110513,18
11015,27
11015,9648
11015,53
9306,14
9306,27
9306,878
12559,35
12559,10751
58770,18
58770,53
294850,10770
294850,18
56077,18
56077,10749
56077,10752
19004,16
19004,12
19004,10751
10987,27
10987,53
44705,18
44705,35
44705,10749
20318,18
20318,36
26933,18
26933,10749
27854,18
27854,36
27854,10749
27854,53
981,35
981,10749
2769,18
2769,35
2769,10402
2769,10749
13320,10402
13320,35
13320,10749
164,35
164,18
164,10749
426,9648
426,10749
426,53
567,18
567,9648
567,53
3078,35
3078,10749
13528,18
13528,9648
13528,53
13528,80
213,9648
213,53
284,35
284,18
284,10749
4808,35
4808,9648
4808,10749
4808,53
289,18
289,10749
11113,18
11113,10751
11113,10402
11113,10749
6620,35
6620,18
6620,10749
804,35
804,10749
19101,18
19101,10751
19101,14
909,35
909,10402
909,10749
630,12
630,10751
630,14
770,18
770,10749
770,10752
31044,35
31044,18
15,9648
15,18
62,878
62,9648
62,12
121357,12
121357,10749
705,18
223,18
223,9648
25670,9648
25670,53
25670,10752
14410,18
14410,10402
8356,18
8356,10749
381,80
381,18
381,9648
381,10749
381,53
29376,35
29376,10402
1859,35
1859,10749
18299,35
18299,18
18299,10749
17281,35
17281,10402
17281,10749
64382,35
64382,10749
1939,18
1939,9648
22292,14
22292,10749
22292,9648
3598,12
3598,14
3598,18
3598,9648
3080,35
3080,10402
3080,10749
1712,28
1712,18
1712,37
3529,35
3529,80
3529,9648
3085,35
3085,18
1585,18
1585,10751
1585,14
3083,35
3083,18
900,35
900,10749
43795,18
43795,10749
10533,18
10533,36
10533,10749
50001,35
50001,53
50001,9648
50001,10749
43905,18
22688,35
22688,14
22688,10749
23114,18
23114,10751
40206,35
40206,10402
40206,10749
22356,10749
22356,37
260,28
260,53
260,9648
43488,10752
43488,18
9911,28
9911,80
9911,53
488,12
488,10752
488,10749
22733,28
22733,12
22733,35
22733,80
22733,18
22733,10749
261,18
261,10749
57575,10749
57575,18
32574,18
32574,35
32574,10749
22649,18
22649,10749
22649,10752
39448,28
39448,10769
31152,80
31152,18
31152,53
39940,18
39940,10749
85328,35
85328,10749
85328,18
11076,28
11076,12
11076,18
11076,10751
63945,18
63945,10749
58985,18
58985,35
58985,10402
890,18
10861,28
10861,12
10861,53
1770,18
1770,53
44465,18
44465,53
2033,18
2033,10749
18203,18
9333,28
9333,80
9333,18
9333,53
47260,28
47260,18
47260,53
9400,28
9400,80
9400,18
9401,35
9401,80
12241,35
12241,80
12241,53
11306,18
11306,53
9625,28
9625,12
9625,80
9625,18
9625,53
10680,28
10680,35
10680,18
10680,10751
6346,80
6346,18
18660,35
18660,10751
35115,28
35115,12
35115,10751
35115,37
14821,12
14821,14
14821,878
14821,10751
14136,35
14136,10751
14136,14
10869,10749
10869,35
10869,10751
10869,14
22660,12
22660,18
22660,37
31102,12
18444,12
18444,10751
173,12
173,18
173,878
864,35
45588,35
45588,10751
45588,14
81310,16
81310,10751
81310,10402
15947,16
15947,10751
15947,10402
9078,16
9078,10751
29682,16
29682,18
29682,10751
433,35
433,10751
433,14
11360,16
11360,10751
11114,14
11114,16
11114,35
11114,10751
12335,12
12335,14
12335,16
12335,35
12335,10751
12335,10402
12092,16
12092,10751
12092,14
10948,12
10948,16
10948,18
10948,10751
11229,35
11229,18
11229,53
15121,18
15121,10751
15121,10402
15121,10749
10163,27
10163,53
10163,878
48862,18
48862,10749
117036,99
11159,18
9591,35
9591,18
30500,18
30500,10749
41843,18
41843,10749
55058,35
55058,10749
10938,35
10938,18
10938,10749
11412,80
11412,28
11412,9648
11412,53
10586,12
42314,99
27845,35
27845,18
23223,80
23223,18
49471,18
38153,28
38153,53
25147,18
25147,10749
9716,10402
9716,35
9716,10749
43777,18
43777,10749
10218,35
10218,10749
819,80
819,18
819,53
38191,18
11238,12
11238,16
11238,10751
66473,35
66473,10402
66473,10749
28120,80
28120,18
28120,9648
28120,53
1834,80
1834,18
1834,9648
1834,53
26282,12
26282,18
26282,10749
37218,10752
37218,18
37218,10749
37218,28
252,10402
252,10751
252,14
16372,27
11561,35
11561,10749
11561,878
11302,35
623,35
623,80
583,35
12614,35
12614,10402
12614,10749
11575,12
11575,35
475,80
475,18
11331,12
11331,18
521,80
521,9648
521,53
1413,18
1413,10749
88,18
88,10402
88,10749
500,80
500,53
792,18
792,10752
792,28
402,53
402,9648
10537,18
10537,10402
11386,10749
11386,80
11386,18
11386,53
9504,80
9504,18
9504,9648
15764,18
15764,10749
601,878
601,12
601,10751
601,14
67365,35
13189,18
13189,10751
13189,14
13189,10770
2119,12
744,28
744,10749
744,10752
136311,28
136311,35
221,18
702,18
25750,27
9305,99
37616,35
11112,35
21612,80
21612,18
102461,18
36998,18
1630,18
26626,35
124837,99
11816,18
11843,9648
11843,35
11843,80
10379,35
10379,14
10379,10751
2756,12
2756,28
2756,53
2756,878
1103,878
1103,28
11298,27
4480,18
4481,18
10765,35
762,12
762,35
762,14
44497,10749
44497,18
278621,18
99479,18
55049,35
55049,80
124829,99
10548,99
531,16
531,35
531,10751
104931,99
4483,9648
4483,80
4483,18
4483,36
4483,10749
31556,18
31556,53
26174,53
26174,80
61461,18
117500,18
659,18
659,36
659,10752
30892,18
30892,35
86369,18
86369,35
8074,35
8074,18
38554,35
49763,27
246219,99
10608,35
10608,18
11216,18
11216,10749
7452,80
7452,18
64567,35
892,35
892,878
892,14
26561,10749
26561,18
975,18
975,10752
18129,80
