id,company_name
12475,Original Voices Inc.
11062,International West Pictures (IWP)
3940,Kids in America LLC
95293,Bob DeBrino Entertainment
1173,Shopgirl
3207,Pictures in Paradise
3573,Celador Films
63520,Sony Pictures International
12477,Film i Skåne
14676,EuroArts Medien AG
11237,ZDF/Arte
79815,Montage Entertainment
1166,Océanic Films
742,Reverse Angle International
26470,Little Magic Films
6350,Toshiba Entertainment
5163,Laura Bickford Productions
25469,Union Station Media
52412,Coop99 Filmproduktion
17236,Saga Film (I)
2566,Mille et Une Productions
28064,Blue Light
3307,Ex Nihilo
54280,Infinity Media
11715,Manitoba Film and Video Production Tax Credit
213,Cooper's Town Productions
6732,Runteam III Ltd.
3263,Odd Lot Entertainment
22997,Légende Films
1305,L.I.F.T. Production
56181,Domino 17521
19923,Distant Planet Productions
4732,Red Envelope Entertainment
8789,Fuzzy Door Productions
9320,Bass Entertainment Pictures
9319,In The Light Entertainment
54285,Telegraph Films
20899,Twins Financing
2179,Collision Entertainment
135,UIP
95342,Sea Side Films Florida Inc.
26032,Cineblue Internationale Filmproduktionsgesellschaft
1649,Reforma Films
308,The Weinstein Company
8992,Scanbox
11388,ORF Film/Fernseh-Abkommen
35020,Mindshare Media
10105,Apatow Productions
8819,REN-Mar Studios
34236,Mad Scientist Productions
69,MFPV Film
2840,Go Fish Pictures
23631,Minerva Picture Company Ltd.
2217,Pretty Dangerous Films
57043,Bud Yorkin Productions
7435,Phantom Films
19523,AFG Talons Productions
13507,Pie Films Inc.
11486,Picturehouse Entertainment
21443,Wicked Films
10572,Ce Qui Me Meut Motion Pictures
97400,Cofimage 15
6301,CinéCinéma
49697,Pandemonium Productions
66331,Bonne Pioche
66330,National Geographic Films
66329,L'Institut Polare Français Paul-Émile Victor
10891,KL Productions
122,Coop 99
121,Y3 Film
1051,HSI Productions
1050,David LaChapelle Studios
55519,Exception Wild Bunch
1687,Korea Capital Investment
55518,Romero-Grunwald Productions
64570,Running Miracles Productions
15689,Amaze Film + Television
71641,Sydnyk Works
855,Titti Film
71640,Berk/Lane Entertainment
849,Cofinova 2
10884,The Department of Trade and Industry of South Africa
9137,Moonlighting Films
4302,Dog Pond Productions
84498,Organización Santo Domingo
84497,Santo Domingo Films
28334,MUVI Films
88628,Sor Productions
8647,NEW Century
95289,Cherry Road Films
28401,Tovo Films
57421,Grosvenor Park Impact Productions
10067,Alloy Entertainment
53824,Co-Productiefonds Binnenlandse Omroep
53823,Spaghetti Film
12067,Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG
2748,Clubdeal
2944,A Million Monkeys
25434,Harris Company
25432,Bull's Eye Entertainment
19482,Inside Track 3
19479,KOH
2941,Sidestreet Entertainment
19478,BK
51850,Tohokushinsha
2976,Mile High Productions
38771,Jeff Skoll Productions
12260,Bob Yari Productions
25838,Occupant Entertainment
3736,Jennings Lang
12808,Big Beach Films
7374,Back Lot Pictures
22046,Victorian Film
10746,Josef Aichholzer Filmproduktion
60137,Cady-Film
28305,Winston Davis and Associates
10473,National Film Board of Canada
21498,Internationale Filmproduktion Eagle
55330,Canafox Films
3667,Sandrew Metronome Norge
32838,Andor Films
48805,Changchun Film Studio
73953,ELC Productions Ltd.
6402,Mars Media Beteiligungs
6401,Alan Greenspan Productions
12124,J.K. Livin Productions
37334,Jack and Rose Productions
1477,Franco London Films
7343,Etb (Euskal Telebista)
3687,Takarazuka Eiga Company Ltd.
74798,Toolbox Films
74797,Toolbox Murders Inc.
14925,Howard Productions
765,Tempête Sous Un Crâne Productions
90188,Mandala Films
90187,Artear
45190,Tornasol Films S.A.
15000,Hope & Glory Pictures
14999,Hope & Glory Pictures International
14998,Hope & Glory Film Productions GmbH
14935,IsFilm
2313,Andrea Sperling Productions
44323,Mr. X
